Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Sudan,SDN,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,413226,424711,436110,447826,461756,475821,490037,504345,518758,535523,552267,569326,587031,605697,626186,647373,669505,692782,717365,744094,771920,800950,831202,862810,894745
Sudan,SDN,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,359038,368487,377651,386889,399309,411734,423998,435858,447193,462327,476924,491473,506569,522716,541016,560167,580163,600920,622378,646385,670911,696028,721764,748267,776325
Sudan,SDN,"Population ages 65 and above, total",SP.POP.65UP.TO,772265,793197,813762,834712,861076,887578,914068,940234,965951,997863,1029200,1060778,1093578,1128409,1167168,1207497,1249636,1293692,1339744,1390485,1442838,1496980,1552972,1611075,1671066
Sudan,SDN,"Population, female",SP.POP.TOTL.FE.IN,12668940,12969716,13274739,13597786,13943262,14306620,14682016,15060068,15434309,15803459,16171077,16541366,16920405,17312732,17719718,18140461,18574540,19020771,19478321,19947203,20427932,20920586,21425281,21941974,22470589
Sudan,SDN,"Population, male",SP.POP.TOTL.MA.IN,12744972,13045802,13351773,13677233,14027815,14398166,14778501,15154121,15515205,15858365,16189542,16519478,16863374,17232282,17629958,18053320,18498015,18956886,19424627,19900230,20385466,20880946,21387956,21907295,22438762
Sudan,SDN,"Population, total",SP.POP.TOTL,25413912,26015518,26626512,27275019,27971077,28704786,29460517,30214189,30949514,31661824,32360619,33060844,33783779,34545014,35349676,36193781,37072555,37977657,38902948,39847433,40813398,41801532,42813237,43849269,44909351
Sudan,SDN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,46.5,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,..,..,11,11.4,11.8,11.7,11.9,11.9,12.1,12.4,12.7,12.8,13.1,13.4,13.5,13.5,14,14.4,15.1,15.9,15.7,16.1,..,..
United States,USA,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..,..,4.5,4.7,5,5,5.4,5.2,5.4,5.5,5.6,5.7,5.8,6,6.1,6.2,6.5,6.8,7,7.1,7.2,7.5,..,..
United States,USA,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..,..,17.7,18.3,18.8,18.6,18.6,18.7,19.1,19.5,20,20,20.5,20.9,21.1,21,21.6,22.2,23.5,24.9,24.3,25,..,..
United States,USA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.7,8.6,8.6,8.5,8.5,8.5,8.4,8.2,8.3,8.1,8,8.1,7.9,7.995,8.073,8.102,8.215,8.237,8.44,8.493,8.638,8.678,8.7,10.3,..
United States,USA,"Population ages 0-14, female",SP.POP.0014.FE.IN,29304887,29525351,29723323,29907093,29953328,30039941,30115848,30158889,30129872,30332735,30438116,30486117,30509793,30531361,30493903,30413947,30307154,30216556,30137754,30041550,29972468,29894500,29776475,29776773,29608465
